id|tollbooth_id|tramo_name|motorbike|car|Car-axle|b2|b3|b4|t2|t3|t4|t5|t6|t7|t8|t9|Load-axle|road_length_km|fair_ref|sct_idVia|via
166|61|Celaya-cerro gordo|$      4 8.00|$          9 6.00|$      4 8.00|$    1 79.00|$    1 79.00|$    1 79.00|$    1 78.00|$    1 78.00|$        3 45.00|$        3 45.00|$       4 86.00|$       4 86.00|$         4 86.00|$        4 86.00|$     8 9.00|32.75|pase|109|Querétaro-irapuato
167|61|Queretaro-ent. Libramiento surponiente de queretaro|$        7 .00|$          1 4.00|$        7 .00|$       1 4.00|$       1 4.00|$       1 4.00|$       1 4.00|$       1 4.00|$          1 4.00|$          1 4.00|$         1 4.00|$         1 4.00|$           1 4.00|$          1 4.00|$       7 .00|7.11|pase|109|Querétaro-irapuato
168|590|LIBRAMIENTO DE CELAYA|$      2 8.00|$          2 8.00|$      1 5.00|$       5 7.00|$       5 7.00|$       5 7.00|$       6 2.00|$       6 2.00|$          6 2.00|$          9 9.00|$         9 9.00|$       1 49.00|$         1 49.00|$        1 49.00|$     3 1.00||pase||
169|591|LIBRAMIENTO DE CELAYA|$      2 3.00|$          2 3.00|$      1 2.00|$       4 5.00|$       4 5.00|$       4 5.00|$       4 9.00|$       4 9.00|$          4 9.00|$          7 8.00|$         7 8.00|$       1 19.00|$         1 19.00|$        1 19.00|$     2 5.00||pase||
170|592|LIBRAMIENTO DE CELAYA|$      3 1.00|$          3 1.00|$      1 5.00|$       6 1.00|$       6 1.00|$       6 1.00|$       6 7.00|$       6 7.00|$          6 7.00|$        1 12.00|$       1 12.00|$       1 59.00|$         1 59.00|$        1 59.00|$     3 3.00||pase||
171|183|Celaya-ent. Villagran|$      2 0.00|$          4 0.00|$      2 0.00|$       7 4.00|$       7 4.00|$       7 4.00|$       7 2.00|$       7 2.00|$        1 43.00|$        1 43.00|$       2 05.00|$       2 05.00|$         2 05.00|$        2 05.00|$     3 6.00|19.95|pase|109|Querétaro-irapuato
172|185|QUERETARO-IRAPUATO|$      2 9.00|$          5 8.00|$      2 9.00|$    1 20.00|$    1 20.00|$    1 20.00|$    1 22.00|$    1 22.00|$        2 12.00|$        2 12.00|$       3 12.00|$       3 12.00|$         3 12.00|$        3 12.00|$     6 1.00||pase||
173|185|cerro gordo-irapuato|$      2 5.00|$          5 1.00|$      2 6.00|$    1 02.00|$    1 02.00|$    1 02.00|$    1 01.00|$    1 01.00|$        1 79.00|$        1 79.00|$       2 75.00|$       2 75.00|$         2 75.00|$        2 75.00|$     5 1.00|26.75|pase|109|Querétaro-irapuato
174|185|cerro gordo-salamanca|$        7 .00|$          1 4.00|$        7 .00|$       4 0.00|$       4 0.00|$       4 0.00|$       3 9.00|$       3 9.00|$          9 5.00|$          9 5.00|$       1 09.00|$       1 09.00|$         1 09.00|$        1 09.00|$     2 0.00|5|pase|109|Querétaro-irapuato
175|41|Celaya-irapuato|$      5 1.00|$        1 02.00|$      5 1.00|$    2 19.00|$    2 19.00|$    2 19.00|$    2 11.00|$    2 11.00|$        3 89.00|$        3 89.00|$       5 71.00|$       5 71.00|$         5 71.00|$        5 71.00|$   1 06.00|59.25|pase|109|Querétaro-irapuato
176|41|Celaya-salamanca|$      3 5.00|$          7 0.00|$      3 5.00|$    1 58.00|$    1 58.00|$    1 58.00|$    1 55.00|$    1 55.00|$        3 01.00|$        3 01.00|$       4 06.00|$       4 06.00|$         4 06.00|$        4 06.00|$     7 8.00|37.75|pase|109|Querétaro-irapuato
177|41|Salamanca-irapuato|$      1 8.00|$          3 6.00|$      1 8.00|$       7 4.00|$       7 4.00|$       7 4.00|$       7 2.00|$       7 2.00|$        1 16.00|$        1 16.00|$       1 71.00|$       1 71.00|$         1 71.00|$        1 71.00|$     3 6.00|21.5|pase|109|Querétaro-irapuato
178|564|entronque itesi-san cristobal|$      3 1.00|$          6 2.00|$      3 0.00|$    1 22.00|$    1 22.00|$    1 22.00|$    1 22.00|$    1 22.00|$        1 22.00|$        1 82.00|$       1 82.00|$       2 46.00|$         2 46.00|$        2 46.00||19.57|pase|212|libramiento  de irapuato
179|563|san cristobal-entronque carretera 90|$      1 5.00|$          3 1.00|$      1 6.00|$       6 2.00|$       6 2.00|$       6 2.00|$       6 2.00|$       6 2.00|$          6 2.00|$          9 5.00|$         9 5.00|$       1 24.00|$         1 24.00|$        1 24.00||9.63|pase|212|libramiento  de irapuato
180|564|entronque itesi-arandas|9|18|8|41|41|41|41|41|41|55|55|75|75|75||5.81|operator_site|212|libramiento  de irapuato
181|564|Arandas-san cristobal|21|43|21|86|86|86|86|86|86|125|125|174|174|174||13.76|operator_site|212|libramiento  de irapuato
182|550|cerro gordo-ent la garrida|$      3 3.00|$          6 7.00|$      3 3.00|$    1 36.00|$    1 36.00|$    1 36.00|$    1 36.00|$    1 36.00|$        1 36.00|$        1 85.00|$       1 85.00|$       2 47.00|$         2 47.00|$        2 47.00||31.034|pase|242|Salamanca-león
183|551|Irapuato-leon|$      5 1.00|$        1 02.00|$      5 1.00|$    2 07.00|$    2 07.00|$    2 07.00|$    2 07.00|$    2 07.00|$        2 07.00|$        2 82.00|$       2 82.00|$       3 76.00|$         3 76.00|$        3 76.00||49.828|pase|242|Salamanca-león
184|350|Irapuato-silao|24|49|24|100|100|100|100|100|100|136|136|181|181|181||25.3|operator_site|242|Salamanca-león
185|350|Silao-leon|26|52|26|107|107|107|107|107|107|145|145|194|194|194||23.6|operator_site|242|Salamanca-león
186|314|eje metropolitano-ent los rodrigiez|13|26|13|52|52|52|52|52|52|71|71|84|84|84|26|9.5|pase|242|Salamanca-león
187|351|GUANAJUATO-SILAO|$      2 3.00|$          3 8.00|$        7 .00|$       6 9.00|$       6 9.00|$       6 9.00|$       6 9.00|$       6 9.00|$        1 16.00|$        1 16.00|$       1 83.00|$       1 83.00|$         1 83.00|$        1 83.00|$     2 3.00||pase||
188|120|Leon-lagos de moreno|$      8 9.00|$        1 78.00|$      9 5.00|$    2 95.00|$    2 95.00|$    2 95.00|$    2 91.00|$    2 91.00|$        2 91.00|$        4 11.00|$       4 11.00|$       4 88.00|$         4 88.00|$        4 88.00|$   1 35.00|60.05|pase|36|León-aguascalientes
189|120|Leon-las joyas|$      3 4.00|$          6 8.00|$      3 6.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 08.00|$    1 08.00|$        1 08.00|$        1 57.00|$       1 57.00|$       1 86.00|$         1 86.00|$        1 86.00|$     5 1.00|22.8|pase|36|León-aguascalientes
190|120|Leon-san francisco del rincon|$      2 9.00|$          5 8.00|$      3 1.00|$       9 1.00|$       9 1.00|$       9 1.00|$       8 7.00|$       8 7.00|$          8 7.00|$        1 31.00|$       1 31.00|$       1 63.00|$         1 63.00|$        1 63.00|$     3 9.00|19|pase|36|León-aguascalientes
191|120|LEÓN-AGUASCALIENTES|$      2 3.00|$          4 6.00|$      2 5.00|$       7 5.00|$       7 5.00|$       7 5.00|$       7 5.00|$       7 5.00|$          7 5.00|$        1 07.00|$       1 07.00|$       1 25.00|$         1 25.00|$        1 25.00|$     3 5.00||pase|36|León-aguascalientes
192|120|union de san antonio-lagos de moreno|$      2 3.00|$          4 7.00|$      1 9.00|$       7 4.00|$       7 4.00|$       7 4.00|$       7 2.00|$       7 2.00|$          7 2.00|$        1 05.00|$       1 05.00|$       1 27.00|$         1 27.00|$        1 27.00|$     3 2.00|19|pase|36|León-aguascalientes
193|120|Leon-ent central de abastos|$      1 8.00|$          3 7.00|$      1 6.00|$       5 9.00|$       5 9.00|$       5 9.00|$       5 8.00|$       5 8.00|$          5 8.00|$          8 5.00|$         8 5.00|$       1 04.00|$         1 04.00|$        1 04.00|$     2 9.00|12|pase|36|León-aguascalientes
194|120|Leon-ent aut salamanca|$      1 0.00|$          2 0.00|$        8 .00|$       3 4.00|$       3 4.00|$       3 4.00|$       3 3.00|$       3 3.00|$          3 3.00|$          4 8.00|$         4 8.00|$         5 6.00|$           5 6.00|$          5 6.00|$     1 5.00|6.15|pase|36|León-aguascalientes
195|123|ent. Lagos de moreno-aguascalientes|$      8 4.00|$        1 69.00|$      9 2.00|$    3 04.00|$    3 04.00|$    3 04.00|$    2 91.00|$    2 91.00|$        2 91.00|$        4 17.00|$       4 17.00|$       4 94.00|$         4 94.00|$        4 94.00|$   1 44.00|43.8|pase|36|León-aguascalientes
196|123|encarnacion de diaz-aguascalentes|$      3 5.00|$          7 1.00|$      3 8.00|$    1 37.00|$    1 37.00|$    1 37.00|$    1 27.00|$    1 27.00|$        1 27.00|$        1 78.00|$       1 78.00|$       2 04.00|$         2 04.00|$        2 04.00|$     6 1.00|15.11|pase|36|León-aguascalientes
197|583|LIBRAMIENTO AGUASCALIENTES|$      3 9.00|$          7 7.00|$      3 9.00|$    1 55.00|$    1 55.00|$    1 55.00|$    1 55.00|$    1 55.00|$        1 55.00|$        2 32.00|$       2 32.00|$       3 10.00|$         3 10.00|$        3 10.00|$     7 7.00||pase||
198|583|LIBRAMIENTO AGUASCALIENTES|$      2 1.00|$          4 2.00|$      2 1.00|$       8 5.00|$       8 5.00|$       8 5.00|$       8 5.00|$       8 5.00|$          8 5.00|$        1 27.00|$       1 27.00|$       1 69.00|$         1 69.00|$        1 69.00|$     4 2.00||pase||
199|583|LIBRAMIENTO AGUASCALIENTES|$      1 8.00|$          3 5.00|$      1 8.00|$       7 0.00|$       7 0.00|$       7 0.00|$       7 0.00|$       7 0.00|$          7 0.00|$        1 05.00|$       1 05.00|$       1 41.00|$         1 41.00|$        1 41.00|$     3 5.00||pase||
200|87|CD. CUAUHTEMOC-OSIRIS|$      2 3.00|$           44.00|$      23.00|$       64.00|$       64.00|$       64.00|$       64.00|$       64.00|$           89.00|$           89.00|$       115.00|$        115.00|$          115.00|$        115.00|$      32.00|42.31|pase|9|cd. cuahutémoc-osiris
201|114|ent. Arandas-el desperdicio|$   1 01.00|$        2 02.00|$   1 11.00|$    3 38.00|$    3 38.00|$    3 38.00|$    3 29.00|$    3 29.00|$        3 29.00|$        5 02.00|$       5 02.00|$       6 70.00|$         6 70.00|$        6 70.00|$   1 59.00|65.21|pase|125|Zapotlanejo-lagos de moreno
202|114|ent. Arandas-jalostotitlan|$      5 9.00|$        1 18.00|$      6 7.00|$    1 91.00|$    1 91.00|$    1 91.00|$    1 82.00|$    1 82.00|$        1 82.00|$        3 09.00|$       3 09.00|$       3 93.00|$         3 93.00|$        3 93.00|$     8 5.00|37.516|pase|125|Zapotlanejo-lagos de moreno
203|114|Jalostotitlan-el desperdicio|$      4 2.00|$          8 5.00|$      4 4.00|$    1 47.00|$    1 47.00|$    1 47.00|$    1 47.00|$    1 47.00|$        1 47.00|$        1 93.00|$       1 93.00|$       2 77.00|$         2 77.00|$        2 77.00|$     7 4.00|27.7|pase|125|Zapotlanejo-lagos de moreno
204|114|ent. Arandas-san miguel el alto|$      3 5.00|$          7 0.00|$      3 8.00|$    1 12.00|$    1 12.00|$    1 12.00|$    1 10.00|$    1 10.00|$        1 10.00|$        1 75.00|$       1 75.00|$       2 21.00|$         2 21.00|$        2 21.00|$     5 1.00|22.1|pase|125|Zapotlanejo-lagos de moreno
205|114|ent. San juande los lagos-el desperdicio|$      1 7.00|$          3 4.00|$      2 3.00|$       5 6.00|$       5 6.00|$       5 6.00|$       5 2.00|$       5 2.00|$          5 2.00|$          8 5.00|$         8 5.00|$         9 8.00|$           9 8.00|$          9 8.00|$     2 9.00|8.18|pase|125|Zapotlanejo-lagos de moreno
206|113|ZAPOTLANEJO-LAGOS DE MORENO|$    123.00|$        2 46.00|$    134.00|$     382.00|$     382.00|$     382.00|$     368.00|$     368.00|$        3 68.00|$         638.00|$       6 38.00|$        806.00|$          806.00|$        8 06.00|$   1 72.00||pase||
207|113|ZAPOTLANEJO-LAGOS DE MORENO|$    100.00|$        2 01.00|$    113.00|$     319.00|$     319.00|$     319.00|$     304.00|$     304.00|$        3 04.00|$         556.00|$       5 56.00|$        703.00|$          703.00|$        7 03.00|$   1 41.00||pase||
208|113|ZAPOTLANEJO-LAGOS DE MORENO|$      9 8.00|$        1 96.00|$   1 03.00|$    3 54.00|$    3 54.00|$    3 54.00|$    3 40.00|$    3 40.00|$        3 40.00|$        5 17.00|$       5 17.00|$       6 28.00|$         6 28.00|$        6 28.00|$   1 62.00||pase||
209|113|Zapotlanejo-ent. Arandas|$      8 6.00|$        1 72.00|$      9 2.00|$    2 73.00|$    2 73.00|$    2 73.00|$    2 63.00|$    2 63.00|$        2 63.00|$        4 22.00|$       4 22.00|$       5 16.00|$         5 16.00|$        5 16.00|$   1 24.00|53.284|pase|125|Zapotlanejo-lagos de moreno
210|113|ZAPOTLANEJO-LAGOS DE MORENO|$      7 3.00|$        1 46.00|$      8 0.00|$    2 37.00|$    2 37.00|$    2 37.00|$    2 29.00|$    2 29.00|$        2 29.00|$        4 25.00|$       4 25.00|$       5 40.00|$         5 40.00|$        5 40.00|$   1 07.00||pase||
211|113|ent. Acatic-zapotlanejo|$      3 6.00|$          7 2.00|$      3 8.00|$    1 28.00|$    1 28.00|$    1 28.00|$    1 24.00|$    1 24.00|$        1 24.00|$        2 09.00|$       2 09.00|$       2 50.00|$         2 50.00|$        2 50.00|$     5 9.00|25.02|pase|125|Zapotlanejo-lagos de moreno
212|113|Zapotlanejo-tepatitlan|$      6 3.00|$        1 27.00|$      7 1.00|$    2 10.00|$    2 10.00|$    2 10.00|$    1 99.00|$    1 99.00|$        1 99.00|$        3 40.00|$       3 40.00|$       4 13.00|$         4 13.00|$        4 13.00|$     9 3.00|41512|pase|125|Zapotlanejo-lagos de moreno
213|113|ZAPOTLANEJO-LAGOS DE MORENO|$      4 9.00|$          9 8.00|$      5 0.00|$    1 64.00|$    1 64.00|$    1 64.00|$    1 58.00|$    1 58.00|$        1 58.00|$        2 06.00|$       2 06.00|$       2 26.00|$         2 26.00|$        2 26.00|$     7 6.00||pase||
214|113|ZAPOTLANEJO-LAGOS DE MORENO|$      2 6.00|$          5 3.00|$      2 9.00|$    1 01.00|$    1 01.00|$    1 01.00|$       9 4.00|$       9 4.00|$          9 4.00|$        1 24.00|$       1 24.00|$       1 23.00|$         1 23.00|$        1 23.00|$     4 5.00||pase||
215|113|Tapatitlan-ent. Arandas|$      2 2.00|$          4 4.00|$      2 1.00|$       6 4.00|$       6 4.00|$       6 4.00|$       6 4.00|$       6 4.00|$          6 4.00|$          8 2.00|$         8 2.00|$       1 03.00|$         1 03.00|$        1 03.00|$     3 1.00|11.772|pase|125|Zapotlanejo-lagos de moreno
216|199|lagos de moreno-villa de arriaga|$      7 0.00|$        1 40.00|$      7 0.00|$     282.00|$     282.00|$     282.00|$     273.00|$     273.00|$        2 73.00|$         403.00|$       4 03.00|$        563.00|$          563.00|$        5 63.00|$   1 37.00|66.048|pase|224|lagos de moreno villa de arriaga
217|454|VENTURA-EL PEYOTE|$      5 2.00|$        1 04.00|$      5 2.00|$     202.00|$     202.00|$     202.00|$     202.00|$     202.00|$        2 02.00|$         312.00|$       3 12.00|$        485.00|$          485.00|$        4 85.00|$      52.00||pase||
218|426|LIBRAMIENTO ARCO NORTE SAN LUIS POTOS|$      5 0.00|$        1 00.00|$      4 9.00|$    1 63.00|$    1 63.00|$    1 63.00|$    1 63.00|$    1 63.00|$        1 63.00|$        2 66.00|$       2 66.00|$       4 16.00|$         4 16.00|$        4 16.00|$     4 9.00|31.5|pase|238|libramiento norte de san luis potosi
219|504|LIBRAMIENTO PONIENTE SAN LUIS POTOSI|$      4 0.00|$          8 1.00|$      4 1.00|$    1 40.00|$    1 40.00|$    1 40.00|$    1 40.00|$    1 40.00|$        1 40.00|$        2 27.00|$       2 27.00|$       3 51.00|$         3 51.00|$        3 51.00|$     4 1.00|24.43|pase|259|libramiento poniente de san luis potosi
220|504|LIBRAMIENTO PONIENTE SAN LUIS POTOSI|$      2 8.00|$          5 6.00|$      2 8.00|$       9 6.00|$       9 6.00|$       9 6.00|$       9 6.00|$       9 6.00|$          9 6.00|$        1 56.00|$       1 56.00|$       2 39.00|$         2 39.00|$        2 39.00|$     2 8.00||pase||
221|504|LIBRAMIENTO PONIENTE SAN LUIS POTOSI|$      1 4.00|$          2 8.00|$      1 4.00|$       4 8.00|$       4 8.00|$       4 8.00|$       4 8.00|$       4 8.00|$          4 8.00|$          7 7.00|$         7 7.00|$       1 19.00|$         1 19.00|$        1 19.00|$     1 4.00||pase||
222|425|LIBRAMIENTO ORIENTE SAN LUIS POTOSI|$      5 3.00|$        1 05.00|$      5 2.00|$    1 77.00|$    1 77.00|$    1 77.00|$    1 77.00|$    1 77.00|$        1 77.00|$        2 85.00|$       2 85.00|$       4 44.00|$         4 44.00|$        4 44.00|$     5 2.00|33.76|pase|43|libramiento oriente de san luis potosi
223|425|LIBRAMIENTO ORIENTE SAN LUIS POTOSI|$      1 6.00|$          3 3.00|$      1 6.00|$       5 5.00|$       5 5.00|$       5 5.00|$       5 5.00|$       5 5.00|$          5 5.00|$          8 8.00|$         8 8.00|$       1 38.00|$         1 38.00|$        1 38.00|$     1 6.00||pase||
224|127|LIBRAMIENTO NORESTE QUERETARO|$      3 1.00|$          6 2.00|$      3 1.00|$    1 08.00|$    1 08.00|$    1 08.00|$    1 02.00|$    1 02.00|$        1 02.00|$        1 10.00|$       1 10.00|$       1 51.00|$         1 51.00|$        1 51.00|$     5 1.00|37|pase|40|libramiento noreste dde querétaro
225|486|SAN LUIS POTOSÍ-RIOVERDE|$   1 02.00|$        2 03.00|$      7 0.00|$    3 48.00|$    4 47.00|$    4 47.00|$    3 48.00|$    4 47.00|$        4 47.00|$        4 47.00|$       4 47.00|$       7 94.00|$         7 94.00|$        7 94.00|$     7 0.00||pase||
226|486|SAN LUIS POTOSÍ-RIOVERDE|$      7 6.00|$        1 51.00|$      7 0.00|$    2 60.00|$    3 35.00|$    3 35.00|$    2 60.00|$    3 35.00|$        3 35.00|$        3 35.00|$       3 35.00|$       5 97.00|$         5 97.00|$        5 97.00|$     7 0.00||pase||
227|486|SAN LUIS POTOSÍ-RIOVERDE|$72.00|$        1 44.00|$      7 0.00|$    2 42.00|$    3 09.00|$    3 09.00|$    2 42.00|$    3 09.00|$        3 09.00|$        3 09.00|$       3 09.00|$       5 53.00|$         5 53.00|$        5 53.00|$     7 0.00||pase||
228|486|SAN LUIS POTOSÍ-RIOVERDE|$      6 9.00|$        1 38.00|$      7 0.00|$    2 36.00|$    2 99.00|$    2 99.00|$    2 36.00|$    2 99.00|$        2 99.00|$        2 99.00|$       2 99.00|$       5 41.00|$         5 41.00|$        5 41.00|$     7 0.00||pase||
229|486|SAN LUIS POTOSÍ-RIOVERDE|$      3 3.00|$          6 5.00|$      7 0.00|$    1 12.00|$    1 47.00|$    1 47.00|$    1 12.00|$    1 47.00|$        1 47.00|$        1 47.00|$       1 47.00|$       2 54.00|$         2 54.00|$        2 54.00|$     7 0.00||pase||
230|486|SAN LUIS POTOSÍ-RIOVERDE|$      3 0.00|$          5 9.00|$      7 0.00|$    1 07.00|$    1 37.00|$    1 37.00|$    1 07.00|$    1 37.00|$        1 37.00|$        1 37.00|$       1 37.00|$       2 42.00|$         2 42.00|$        2 42.00|$     7 0.00||pase||
231|486|SAN LUIS POTOSÍ-RIOVERDE|$        8 .00|$          1 5.00|$        4 .00|$       2 4.00|$       3 0.00|$       3 0.00|$       2 4.00|$       3 0.00|$          3 0.00|$          3 0.00|$         3 0.00|$         5 4.00|$           5 4.00|$          5 4.00|$       4 .00||pase||
232|486|SAN LUIS POTOSÍ-RIOVERDE|$        5 .00|$            9 .00|$        3 .00|$       1 7.00|$       2 1.00|$       2 1.00|$       1 7.00|$       2 1.00|$          2 1.00|$          2 1.00|$         2 1.00|$         4 0.00|$           4 0.00|$          4 0.00|$       3 .00||pase||
233|486|SAN LUIS POTOSÍ-RIOVERDE|$2.00|$            3 .00|$        1 .00|$         6 .00|$         8 .00|$         8 .00|$         6 .00|$         8 .00|$            8 .00|$             8 .00|$           8 .00|$         1 6.00|$           1 6.00|$          1 6.00|$       1 .00||pase||
234|498|SAN LUIS POTOSÍ-RIOVERDE|$      7 6.00|$        1 51.00|$      7 0.00|$    2 60.00|$    3 35.00|$    3 35.00|$    2 60.00|$    3 35.00|$        3 35.00|$        3 35.00|$       3 35.00|$       5 97.00|$         5 97.00|$        5 97.00|$     7 0.00||pase||
235|498|SAN LUIS POTOSÍ-RIOVERDE|$      2 7.00|$          5 3.00|$      7 0.00|$       8 7.00|$    1 10.00|$    1 10.00|$       8 7.00|$    1 10.00|$        1 10.00|$        1 10.00|$       1 10.00|$       1 99.00|$         1 99.00|$        1 99.00|$     7 0.00||pase||
236|498|SAN LUIS POTOSÍ-RIOVERDE|$        8 .00|$          1 5.00|$        4 .00|$       2 4.00|$       3 0.00|$       3 0.00|$       2 4.00|$       3 0.00|$          3 0.00|$          3 0.00|$         3 0.00|$         5 4.00|$           5 4.00|$          5 4.00|$       4 .00||pase||
237|498|SAN LUIS POTOSÍ-RIOVERDE|$        5 .00|$            9 .00|$        3 .00|$       1 7.00|$       2 1.00|$       2 1.00|$       1 7.00|$       2 1.00|$          2 1.00|$          2 1.00|$         2 1.00|$         4 0.00|$           4 0.00|$          4 0.00|$       3 .00||pase||
238|493|libramiento cd. Valles-tamuin|$      6 1.00|$        1 22.00|$      6 1.00|$    2 21.00|$    2 21.00|$    2 21.00|$    2 21.00|$    2 21.00|$        2 21.00|$        3 42.00|$       3 42.00|$       4 17.00|$         4 17.00|$        4 17.00|$   1 11.00|49.5|pase|244|libramiento cd. Valles-tamuin
239|493|ent. La calera-ent. San juan|$      3 5.00|$          7 1.00|$      3 6.00|$    1 29.00|$    1 29.00|$    1 29.00|$    1 29.00|$    1 29.00|$        1 29.00|$        2 02.00|$       2 02.00|$       2 44.00|$         2 44.00|$        2 44.00|$     6 5.00|28.9|pase|244|libramiento cd. Valles-tamuin
240|493|ent. La pitahaya-ent. La calera|$      2 6.00|$          5 1.00|$      2 5.00|$       9 2.00|$       9 2.00|$       9 2.00|$       9 2.00|$       9 2.00|$          9 2.00|$        1 40.00|$       1 40.00|$       1 73.00|$         1 73.00|$        1 73.00|$     4 6.00|20.6|pase|244|libramiento cd. Valles-tamuin
241|909|Mexico-santa fe|$        5 .00|$          1 1.00|$        5 .00|||||||||||||5.13|pase|55|México-la marquesa
242|908|MÉXICO-LA MARQUESA|$      5 5.00|$        1 11.00|$      5 5.00|$    2 22.00|$    2 22.00|$    2 22.00|$    2 22.00|$    2 22.00|$        2 22.00|$        3 34.00|$       3 34.00|$       4 44.00|$         4 44.00|$        4 44.00||22|pase|55|México-la marquesa
243|908|Mexico-contadero|$      2 7.00|$          5 5.00|$      2 8.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 11.00|$        1 11.00|$        1 66.00|$       1 66.00|$       2 22.00|$         2 22.00|$        2 22.00||10.93|pase|55|México-la marquesa
244|908|Mexico-la venta|$      2 7.00|$          5 5.00|$      2 8.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 11.00|$        1 11.00|$        1 66.00|$       1 66.00|$       2 22.00|$         2 22.00|$        2 22.00||11.5|sct_site|55|México-la marquesa
245|908|Contadero-la marquesa|$      2 7.00|$          5 5.00|$      2 8.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 11.00|$        1 11.00|$        1 66.00|$       1 66.00|$       2 22.00|$         2 22.00|$        2 22.00||11.07|sct_site|55|México-la marquesa
246|908|la venta-la marquesa|$      2 7.00|$          5 5.00|$      2 8.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 11.00|$        1 11.00|$        1 66.00|$       1 66.00|$       2 22.00|$         2 22.00|$        2 22.00||10.5|sct_site|55|México-la marquesa
247|934|LA MARQUESA-LERMA|$      3 6.00|$          7 2.00|$      3 6.00|$    1 44.00|$    1 44.00|$    1 44.00|$    1 44.00|$    1 44.00|$        1 44.00|$        2 16.00|$       2 16.00|$       2 87.00|$         2 87.00|$        2 87.00||12.303|pase|251|la marquesa-lerma
248|835|TENANGO - IXTAPAN|$      3 6.00|$          7 3.00|$      2 9.00|$       9 5.00|$    1 38.00|$    1 97.00|$       9 5.00|$    1 38.00|$        1 97.00|$        2 33.00|$       2 73.00|$       3 10.00|$         3 58.00|$        3 82.00|||pase||
249|835|TENANGO - IXTAPAN|$      1 8.00|$          3 6.00|$      1 8.00|$       4 6.00|$       7 2.00|$    1 01.00|$       4 6.00|$       7 2.00|$        1 01.00|$        1 18.00|$       1 39.00|$       1 58.00|$         1 83.00|$        1 95.00|||pase||
250|836|TENANGO - IXTAPAN|$      2 1.00|$          4 3.00|$      2 1.00|$       6 5.00|$       9 6.00|$    1 31.00|$       6 5.00|$       9 6.00|$        1 31.00|$        1 68.00|$       2 10.00|$       2 48.00|$         2 81.00|$        3 22.00|||pase||
251|837|TENANGO - IXTAPAN|$      1 8.00|$          3 6.00|$      1 7.00|$       5 3.00|$       7 6.00|$    1 05.00|$       5 3.00|$       7 6.00|$        1 05.00|$        1 34.00|$       1 70.00|$       1 99.00|$         2 25.00|$        2 57.00|||pase||
252|470|LERMA-SANTIAGO|$      2 7.00|$          5 4.00|$      2 7.00|$    1 07.00|$    1 61.00|$    2 15.00|$    1 07.00|$    1 61.00|$        2 15.00|$        2 15.00|$       2 15.00|$       2 15.00|$         2 15.00|$        2 15.00|||pase||
253|471|LERMA-SANTIAGO|$      2 3.00|$          4 7.00|$      2 3.00|$       9 7.00|$    1 41.00|$    1 88.00|$       9 7.00|$    1 41.00|$        1 88.00|$        1 88.00|$       1 88.00|$       1 88.00|$         1 88.00|$        1 88.00|||pase||
254|471|LERMA-SANTIAGO|$      2 4.00|$          4 9.00|$      2 5.00|$       9 9.00|$    1 48.00|$    1 98.00|$       9 9.00|$    1 48.00|$        1 98.00|$        1 98.00|$       1 98.00|$       1 98.00|$         1 98.00|$        1 98.00|||pase||
255|471|LERMA-SANTIAGO|$      2 0.00|$          4 0.00|$      2 0.00|$       8 1.00|$    1 21.00|$    1 61.00|$       8 1.00|$    1 21.00|$        1 61.00|$        1 61.00|$       1 61.00|$       1 61.00|$         1 61.00|$        1 61.00|||pase||
256|416|Lerma-atlacomulco|$      5 3.00|$        1 07.00|$      5 3.00|$    2 15.00|$    2 15.00|$    2 15.00|$    2 15.00|$    2 15.00|$        4 29.00|$        4 29.00|$       4 29.00|$       4 29.00|$         4 29.00|$        4 29.00|$   1 08.00||pase||
257|416|Xonacatlan-atlacomulco|$      3 3.00|$          6 7.00|$      3 3.00|$    1 35.00|$    1 35.00|$    1 35.00|$    1 35.00|$    1 35.00|$        2 69.00|$        2 69.00|$       2 69.00|$       2 69.00|$         2 69.00|$        2 69.00|$     6 8.00||pase||
258|416|Lerma-xonacatlan|$      2 0.00|$          4 0.00|$      2 0.00|$       8 0.00|$       8 0.00|$       8 0.00|$       8 0.00|$       8 0.00|$        1 60.00|$        1 60.00|$       1 60.00|$       1 60.00|$         1 60.00|$        1 60.00|$     4 0.00||pase||
259|532|TOLUCA-ZITACUARO RAMAL A VALLE DE BRA|$      8 8.00|$        1 77.00|$      8 8.00|$    3 55.00|$    3 55.00|$    3 55.00|$    3 55.00|$    3 55.00|$        3 55.00|$        5 32.00|$       5 32.00|$       7 10.00|$         7 10.00|$        7 10.00|||pase||
260|532|TOLUCA-ZITACUARO RAMAL A VALLE DE BRA|$      6 5.00|$        1 31.00|$      6 5.00|$    2 62.00|$    2 62.00|$    2 62.00|$    2 62.00|$    2 62.00|$        2 62.00|$        3 93.00|$       3 93.00|$       5 23.00|$         5 23.00|$        5 23.00|||pase||
