id|tollbooth_id|strech_name|motorbike|car|Car-axle|bus-2axle|bus-3axle|bus-4axle|truck-2axle|truck-3axle|truck-4axle|truck-5axle|truck-6axle|truck-7axle|truck-8axle|truck-9axle|Load-axle|road_length_km|fair_ref|sct_idVia|via|Motorbike-axle|Car-rush-hour|Car-evening-hour
310|925|ent. Zirimicuaro-ent. Cajones|$      3 9.00|$          7 8.00|$      3 9.00|$    1 47.00|$    1 47.00|$    1 47.00|$    1 43.00|$    1 43.00|$        1 43.00|$        2 25.00|$       2 25.00|$       2 99.00|$         2 99.00|$        2 99.00||29|pase|122|Uruapan-nueva italia|||
311|925|Taretan-ent. Cajones|$      3 0.00|$          6 0.00|$      3 0.00|$    1 15.00|$    1 15.00|$    1 15.00|$    1 14.00|$    1 14.00|$        1 14.00|$        1 59.00|$       1 59.00|$       2 26.00|$         2 26.00|$        2 26.00||21|pase|122|Uruapan-nueva italia|||
312|925|ent. Zirimicuaro-taretan|$        9 .00|$          1 8.00|$      1 1.00|$       2 9.00|$       2 9.00|$       2 9.00|$       2 8.00|$       2 8.00|$          2 8.00|$          6 7.00|$         6 7.00|$         7 6.00|$           7 6.00|$          7 6.00||8|pase|122|Uruapan-nueva italia|||
313|924|ent. Cajones-ent. Cuatro caminos|$      3 9.00|$          7 8.00|$      3 9.00|$    1 49.00|$    1 49.00|$    1 49.00|$    1 45.00|$    1 45.00|$        1 45.00|$        2 25.00|$       2 25.00|$       2 98.00|$         2 98.00|$        2 98.00||31|pase|122|Uruapan-nueva italia|||
314|924|ent. Santa casilda-ent. Cuatro caminos|$      3 0.00|$          5 9.00|$      3 0.00|$    1 15.00|$    1 15.00|$    1 15.00|$    1 14.00|$    1 14.00|$        1 14.00|$        1 59.00|$       1 59.00|$       2 25.00|$         2 25.00|$        2 25.00||20|pase|122|Uruapan-nueva italia|||
315|924|ent. Cajones-ent. Santa casilda|$      1 1.00|$          2 1.00|$      1 1.00|$       3 2.00|$       3 2.00|$       3 2.00|$       3 0.00|$       3 0.00|$          3 0.00|$          6 7.00|$         6 7.00|$         7 5.00|$           7 5.00|$          7 5.00||11|pase|122|Uruapan-nueva italia|||
316|920|ent. Nueva italia-ent. Las cañas|$      7 2.00|$        1 44.00|$      7 3.00|$    2 89.00|$    2 89.00|$    2 89.00|$    2 87.00|$    2 87.00|$        2 87.00|$        4 29.00|$       4 29.00|$       5 71.00|$         5 71.00|$        5 71.00||57.5|pase|60|nueva italia-lázaro cárdenas|||
317|919|ent. Las cañas-lazaro cardenas|$   1 06.00|$        2 13.00|$   1 08.00|$    4 33.00|$    4 33.00|$    4 33.00|$    4 29.00|$    4 29.00|$        4 29.00|$        6 42.00|$       6 42.00|$       8 56.00|$         8 56.00|$        8 56.00||99.25|pase|60|nueva italia-lázaro cárdenas|||
318|919|ent. Las cañas-ent. Feliciano|$      7 2.00|$        1 44.00|$      7 3.00|$    2 89.00|$    2 89.00|$    2 89.00|$    2 87.00|$    2 87.00|$        2 87.00|$        4 29.00|$       4 29.00|$       5 71.00|$         5 71.00|$        5 71.00||70.5|pase|60|nueva italia-lázaro cárdenas|||
319|919|ent. Feliciano-lazaro cardenas|$      3 5.00|$          7 1.00|$      3 7.00|$    1 47.00|$    1 47.00|$    1 47.00|$    1 45.00|$    1 45.00|$        1 45.00|$        2 16.00|$       2 16.00|$       2 86.00|$         2 86.00|$        2 86.00||28.75|pase|60|nueva italia-lázaro cárdenas|||
320|1|MÉXICO-CUERNAVACA|$      7 4.00|$        1 49.00|$      7 5.00|$    2 75.00|$    2 75.00|$    2 75.00|$    2 73.00|$    2 73.00|$        2 73.00|$        4 67.00|$       4 67.00|$       6 82.00|$         6 82.00|$        6 82.00|$   1 37.00|61.54|pase|54|México-cuernavaca|||
321|195|tres marias-cuernavaca|$      2 7.00|$          5 4.00|$      2 7.00|$    1 20.00|$    1 20.00|$    1 20.00|$    1 17.00|$    1 17.00|$        1 17.00|$        2 30.00|$       2 30.00|$       3 33.00|$         3 33.00|$        3 33.00|$     5 9.00|27.5|pase|54|México-cuernavaca|||
322|224|LA PERA A - CUAUTLA A|$        9 .00|$          1 8.00|$        9 .00|$       3 5.00|$       3 5.00|$       3 5.00|$       3 5.00|$       3 5.00|$          3 5.00|$          5 5.00|$         5 5.00|$         8 2.00|$           8 2.00|$          8 2.00|$     1 8.00||pase|||||
323|24|la pera-tepoztlan|$      4 1.00|$          8 2.00|$      4 1.00|$    1 45.00|$    1 45.00|$    1 45.00|$    1 42.00|$    1 42.00|$        1 42.00|$        2 32.00|$       2 32.00|$       3 41.00|$         3 41.00|$        3 41.00|$     7 1.00|17.083|pase|32|la pera-cuautla|||
324|24|LA PERA A - CUAUTLA A|$      3 1.00|$          6 3.00|$      3 2.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 09.00|$    1 09.00|$        1 09.00|$        1 78.00|$       1 78.00|$       2 64.00|$         2 64.00|$        2 64.00|$     5 5.00||pase|||||
325|24|LA PERA A - CUAUTLA A|$      3 0.00|$          6 0.00|$      3 0.00|$    1 07.00|$    1 07.00|$    1 07.00|$    1 05.00|$    1 05.00|$        1 05.00|$        1 72.00|$       1 72.00|$       2 55.00|$         2 55.00|$        2 55.00|$     5 3.00||pase|||||
326|24|LA PERA A - CUAUTLA A|$      2 5.00|$          5 1.00|$      2 6.00|$       9 1.00|$       9 1.00|$       9 1.00|$       8 9.00|$       8 9.00|$          8 9.00|$        1 46.00|$       1 46.00|$       2 13.00|$         2 13.00|$        2 13.00|$     4 5.00||pase|||||
327|24|LA PERA A - CUAUTLA A|$      2 1.00|$          4 2.00|$      2 1.00|$       7 2.00|$       7 2.00|$       7 2.00|$       7 1.00|$       7 1.00|$          7 1.00|$        1 18.00|$       1 18.00|$       1 73.00|$         1 73.00|$        1 73.00|$     3 6.00||pase|||||
328|24|LA PERA A - CUAUTLA A|$      1 6.00|$          3 2.00|$      1 6.00|$       5 4.00|$       5 4.00|$       5 4.00|$       5 2.00|$       5 2.00|$          5 2.00|$          8 8.00|$         8 8.00|$       1 26.00|$         1 26.00|$        1 26.00|$     2 6.00||pase|||||
329|24|LA PERA A - CUAUTLA A|$        9 .00|$          1 9.00|$      1 0.00|$       3 6.00|$       3 6.00|$       3 6.00|$       3 6.00|$       3 6.00|$          3 6.00|$          5 7.00|$         5 7.00|$         8 5.00|$           8 5.00|$          8 5.00|$     1 8.00||pase|||||
330|25|Tepoztlan-cuautla|$      1 6.00|$          3 2.00|$      1 6.00|$       5 5.00|$       5 5.00|$       5 5.00|$       5 3.00|$       5 3.00|$          5 3.00|$          8 9.00|$         8 9.00|$       1 28.00|$         1 28.00|$        1 28.00|$     2 7.00|17.082|pase|32|la pera-cuautla|||
331|25|LA PERA A - CUAUTLA A|$      1 6.00|$          3 2.00|$      1 6.00|$       5 4.00|$       5 4.00|$       5 4.00|$       5 2.00|$       5 2.00|$          5 2.00|$          8 8.00|$         8 8.00|$       1 26.00|$         1 26.00|$        1 26.00|$     2 6.00||pase|||||
332|25|LA PERA A - CUAUTLA A|$        5 .00|$          1 1.00|$        6 .00|$       2 0.00|$       2 0.00|$       2 0.00|$       2 0.00|$       2 0.00|$          2 0.00|$          3 5.00|$         3 5.00|$         5 1.00|$           5 1.00|$          5 1.00|$     1 0.00||pase|||||
333|25|LA PERA A - CUAUTLA A|$      2 5.00|$          5 1.00|$      2 6.00|$       9 1.00|$       9 1.00|$       9 1.00|$       8 9.00|$       8 9.00|$          8 9.00|$        1 46.00|$       1 46.00|$       2 13.00|$         2 13.00|$        2 13.00|$     4 5.00||pase|||||
334|465|LA PERA A - CUAUTLA A|$      4 1.00|$          8 2.00|$      4 1.00|$    1 45.00|$    1 45.00|$    1 45.00|$    1 42.00|$    1 42.00|$        1 42.00|$        2 32.00|$       2 32.00|$       3 41.00|$         3 41.00|$        3 41.00|$     7 1.00||pase|||||
335|465|LA PERA A - CUAUTLA A|$      3 1.00|$          6 3.00|$      3 2.00|$    1 11.00|$    1 11.00|$    1 11.00|$    1 09.00|$    1 09.00|$        1 09.00|$        1 78.00|$       1 78.00|$       2 64.00|$         2 64.00|$        2 64.00|$     5 5.00||pase|||||
336|465|LA PERA A - CUAUTLA A|$      3 0.00|$          6 1.00|$      3 1.00|$    1 08.00|$    1 08.00|$    1 08.00|$    1 06.00|$    1 06.00|$        1 06.00|$        1 74.00|$       1 74.00|$       2 57.00|$         2 57.00|$        2 57.00|$     5 3.00||pase|||||
337|465|LA PERA A - CUAUTLA A|$      2 2.00|$          4 4.00|$      2 2.00|$       7 5.00|$       7 5.00|$       7 5.00|$       7 3.00|$       7 3.00|$          7 3.00|$        1 22.00|$       1 22.00|$       1 79.00|$         1 79.00|$        1 79.00|$     3 7.00||pase|||||
338|465|LA PERA A - CUAUTLA A|$      1 6.00|$          3 2.00|$      1 6.00|$       5 4.00|$       5 4.00|$       5 4.00|$       5 2.00|$       5 2.00|$          5 2.00|$          8 8.00|$         8 8.00|$       1 26.00|$         1 26.00|$        1 26.00|$     2 6.00||pase|||||
339|465|LA PERA A - CUAUTLA A|$        5 .00|$          1 1.00|$        6 .00|$       2 0.00|$       2 0.00|$       2 0.00|$       2 0.00|$       2 0.00|$          2 0.00|$          3 5.00|$         3 5.00|$         5 1.00|$           5 1.00|$          5 1.00|$     1 0.00||pase|||||
340|107|Cuernavaca-central de abastos|$        5 .00|$          1 0.00|$        5 .00|$       1 5.00|$       1 5.00|$       1 5.00|$       1 4.00|$       1 4.00|$          1 4.00|$          2 1.00|$         2 1.00|$         2 9.00|$           2 9.00|$          2 9.00|$       7 .00|7|pase|18|Cuernavaca-acapulco|||
341|106|Cuernavaca-aeropuerto|$        7 .00|$          1 5.00|$        8 .00|$       3 3.00|$       3 3.00|$       3 3.00|$       3 2.00|$       3 2.00|$          3 2.00|$          4 0.00|$         4 0.00|$         4 2.00|$           4 2.00|$          4 2.00|$     1 6.00|9.8|pase|18|Cuernavaca-acapulco|||
342|105|Cuernavaca-xochitepec|$      1 6.00|$          3 2.00|$      1 6.00|$       4 0.00|$       4 0.00|$       4 0.00|$       3 9.00|$       3 9.00|$          3 9.00|$          4 5.00|$         4 5.00|$         4 8.00|$           4 8.00|$          4 8.00|$     2 0.00|13.072|pase|18|Cuernavaca-acapulco|||
343|184|Cuernavaca-puente de ixtla|$      4 7.00|$          9 5.00|$      4 8.00|$    1 62.00|$    1 62.00|$    1 62.00|$    1 62.00|$    1 62.00|$        1 62.00|$        2 02.00|$       2 02.00|$       2 21.00|$         2 21.00|$        2 21.00|$     8 1.00|28.939|pase|18|Cuernavaca-acapulco|||
344|101|Cuernavaca-alpuyeca|$      3 2.00|$          6 5.00|$      3 3.00|$    1 13.00|$    1 13.00|$    1 13.00|$    1 11.00|$    1 11.00|$        1 11.00|$        1 40.00|$       1 40.00|$       1 57.00|$         1 57.00|$        1 57.00|$     5 6.00|20|pase|18|Cuernavaca-acapulco|||
345|102|puente de ixtla-chilpancingo|$   1 00.00|$        2 00.00|$   1 00.00|$    4 14.00|$    4 14.00|$    4 14.00|$    4 10.00|$    4 10.00|$        4 10.00|$        5 39.00|$       5 39.00|$       5 97.00|$         5 97.00|$        5 97.00|$   2 05.00|143.021|pase|18|Cuernavaca-acapulco|||
346|102|paso morelos-chilpancingo|$      6 0.00|$        1 20.00|$      6 0.00|$    2 44.00|$    2 44.00|$    2 44.00|$    2 45.00|$    2 45.00|$        2 45.00|$        3 27.00|$       3 27.00|$       3 31.00|$         3 31.00|$        3 31.00|$   1 23.00|88.96|pase|18|Cuernavaca-acapulco|||
347|102|puente de ixtla-paso morelos|$      3 8.00|$          7 6.00|$      3 8.00|$    1 66.00|$    1 66.00|$    1 66.00|$    1 65.00|$    1 65.00|$        1 65.00|$        2 14.00|$       2 14.00|$       1 98.00|$         1 98.00|$        1 98.00|$     8 3.00|54.061|pase|18|Cuernavaca-acapulco|||
348|103|Chilpancingo-tierra colorada|$      9 1.00|$        1 82.00|$      9 1.00|$    2 39.00|$    2 39.00|$    2 39.00|$    2 39.00|$    2 39.00|$        2 39.00|$        3 15.00|$       3 15.00|$       3 52.00|$         3 52.00|$        3 52.00|$   1 20.00|34.713|pase|18|Cuernavaca-acapulco|||
349|104|tierra colorada-acapulco|$      8 1.00|$        1 63.00|$      8 2.00|$    2 26.00|$    2 26.00|$    2 26.00|$    2 24.00|$    2 24.00|$        2 24.00|$        3 06.00|$       3 06.00|$       3 42.00|$         3 42.00|$        3 42.00|$   1 12.00|55.907|pase|18|Cuernavaca-acapulco|||
350|223|LIBRAMIENTO PONIENTE DE ACAPULCO|$      2 8.00|$          5 6.00|$      2 8.00|$       9 4.00|$       9 4.00|$       9 4.00|$       9 4.00|$       9 4.00|$          9 4.00|$        1 19.00|$       1 19.00|$       1 34.00|$         1 34.00|$        1 34.00|$     4 7.00||pase|||||
351|56|ZACAPALCO-RANCHO VIEJO|$      2 2.00|$          4 4.00|$      2 2.00|$       9 0.00|$       9 0.00|$       9 0.00|$       8 7.00|$       8 7.00|$          8 7.00|$        1 31.00|$       1 31.00|$       1 86.00|$         1 86.00|$        1 86.00|$     4 4.00|17.3|pase|124|Zacapalco-rancho viejo|||
352|99|RANCHO VIEJO-TAXCO|$        9 .00|$          1 8.00|$        9 .00|$       3 6.00|$       3 6.00|$       3 6.00|$       3 4.00|$       3 4.00|$          5 7.00|$          5 7.00|$         7 0.00|$         7 0.00|$           7 0.00|$          7 0.00|$     1 7.00|8.34|pase|110|rancho viejo-taxco|||
353|3|PUENTE DE IXTLA-IGUALA|$      5 3.00|$        107.00|$      54.00|$     217.00|$     217.00|$     217.00|$     216.00|$     216.00|$        216.00|$         397.00|$       397.00|$        544.00|$          544.00|$        544.00|$   1 08.00|63.578|pase|73|puente de ixtla-iguala|||
354|423|TÚNEL ACAPULCO|$      9 4.00|$        1 89.00||$    3 42.00|$    3 42.00|$    3 42.00|$    5 67.00|$    5 67.00|$        5 67.00|$        5 67.00|$       5 67.00|$       5 67.00|$         5 67.00|$        5 67.00||2.953|pase|||||
355|429|MACROTÚNEL ACAPULCO|$      4 1.00|$          8 2.00|$      4 1.00|$       8 2.00|$       8 2.00|$       8 2.00||||||||||3.3|pase|||||
356|420|LIBRAMIENTO TECPAN|$      2 5.00|$          4 9.00|$      2 5.00|$       9 2.00|$       9 2.00|$       9 2.00|$       9 2.00|$       9 2.00|$          9 2.00|$        1 38.00|$       1 38.00|$       1 83.00|$         1 83.00|$        1 83.00|$     4 9.00|4.369|pase|205|libramiento de tecpan|||
357|159|ZAPOTLANEJO-GUADALAJARA|$      8 6.00|$        1 72.00|$      9 2.00|$    2 73.00|$    2 73.00|$    2 73.00|$    2 63.00|$    2 63.00|$        2 63.00|$        4 22.00|$       4 22.00|$       5 16.00|$         5 16.00|$        5 16.00|$   1 24.00||pase|||||
358|159|ZAPOTLANEJO-GUADALAJARA|$      6 3.00|$        1 27.00|$      7 1.00|$    2 10.00|$    2 10.00|$    2 10.00|$    1 99.00|$    1 99.00|$        1 99.00|$        3 40.00|$       3 40.00|$       4 13.00|$         4 13.00|$        4 13.00|$     9 3.00||pase|||||
359|159|ZAPOTLANEJO-GUADALAJARA|$      9 5.00|$        1 91.00|$   1 01.00|$    3 44.00|$    3 44.00|$    3 44.00|$    3 35.00|$    3 35.00|$        3 35.00|$        4 58.00|$       4 58.00|$       5 49.00|$         5 49.00|$        5 49.00|$   1 58.00||pase|||||
360|159|ZAPOTLANEJO-GUADALAJARA|$      6 2.00|$        1 24.00|$      6 5.00|$    2 26.00|$    2 26.00|$    2 26.00|$    2 16.00|$    2 16.00|$        2 16.00|$        3 08.00|$       3 08.00|$       3 78.00|$         3 78.00|$        3 78.00|$   1 03.00||pase|||||
361|159|ZAPOTLANEJO-GUADALAJARA|$      3 6.00|$          7 2.00|$      3 8.00|$    1 28.00|$    1 28.00|$    1 28.00|$    1 24.00|$    1 24.00|$        1 24.00|$        2 09.00|$       2 09.00|$       2 50.00|$         2 50.00|$        2 50.00|$     5 9.00||pase|||||
362|159|ZAPOTLANEJO-GUADALAJARA|$      3 6.00|$          7 3.00|$      3 8.00|$    1 33.00|$    1 33.00|$    1 33.00|$    1 29.00|$    1 29.00|$        1 29.00|$        1 81.00|$       1 81.00|$       2 16.00|$         2 16.00|$        2 16.00|$     5 9.00||pase|||||
363|159|Guadalajara-zapotlanejo|$      3 7.00|$          7 4.00|$      4 2.00|$    1 09.00|$    1 09.00|$    1 09.00|$    1 05.00|$    1 05.00|$        1 05.00|$        2 16.00|$       2 16.00|$       2 90.00|$         2 90.00|$        2 90.00|$     4 8.00|26|pase|29|Guadalajara-zapotlanejo|||
364|159|ZAPOTLANEJO-GUADALAJARA|$      3 4.00|$          6 8.00|$      3 4.00|$    1 22.00|$    1 22.00|$    1 22.00|$    1 20.00|$    1 20.00|$        1 20.00|$        1 64.00|$       1 64.00|$       1 96.00|$         1 96.00|$        1 96.00|$     6 0.00||pase|||||
365|159|el vado-guadalajara|$      1 8.00|$          3 7.00|$      2 3.00|$       6 1.00|$       6 1.00|$       6 1.00|$       6 1.00|$       6 1.00|$          6 1.00|$        1 24.00|$       1 24.00|$       1 65.00|$         1 65.00|$        1 65.00|$     3 0.00|14.8|pase|29|Guadalajara-zapotlanejo|||
366|159|Cortijo-guadalajara|$      1 3.00|$          2 6.00|$      1 5.00|$       3 8.00|$       3 8.00|$       3 8.00|$       3 8.00|$       3 8.00|$          3 8.00|$          8 0.00|$         8 0.00|$       1 05.00|$         1 05.00|$        1 05.00|$     1 6.00|9.5|pase|29|Guadalajara-zapotlanejo|||
367|159|Periferico-guadalajara|$      1 2.00|$          2 4.00|$      1 3.00|$       3 4.00|$       3 4.00|$       3 4.00|$       3 5.00|$       3 5.00|$          3 5.00|$          7 1.00|$         7 1.00|$         9 5.00|$           9 5.00|$          9 5.00|$     1 5.00|8.55|pase|29|Guadalajara-zapotlanejo|||
368|159|arroyo de enmedio-guadalajara|$        8 .00|$          1 7.00|$        6 .00|$       2 3.00|$       2 3.00|$       2 3.00|$       2 3.00|$       2 3.00|$          2 3.00|$          4 9.00|$         4 9.00|$         6 4.00|$           6 4.00|$          6 4.00|$       8 .00|5.66|pase|29|Guadalajara-zapotlanejo|||
369|447|Ent. Zapotlanejo-Guadalajara a Chapala (LA LAJA)|$      4 7.00|$          9 4.00|$      4 7.00|$    1 13.00|$    1 13.00|$    1 13.00|$    1 13.00|$    1 13.00|$        1 13.00|$        1 75.00|$       1 75.00|$       1 90.00|$         1 90.00|$        1 90.00|$     5 6.00|25|pase|246|libramiento sur de guadalajara|||
370|447|Aut México-Guadalajara a Zapotlanejo (Remota La Laja)|$        5 .00|$          1 0.00|$        4 .00|$       1 2.00|$       1 2.00|$       1 2.00|$       1 2.00|$       1 2.00|$          1 2.00|$          1 9.00|$         1 9.00|$         1 9.00|$           1 9.00|$          1 9.00|$       5 .00||pase|||||
371|325|Chapala - Santa Cecilia|$      5 8.00|$        1 17.00|$      5 7.00|$    1 43.00|$    1 43.00|$    1 43.00|$    1 41.00|$    1 41.00|$        1 41.00|$        2 17.00|$       2 17.00|$       2 44.00|$         2 44.00|$        2 44.00|$     7 0.00||pase|||||
372|405|Santa Cecilia (TRAMO SANTA CECILIA-MAGDALENA) |$   1 47.00|$        2 95.00|$   1 46.00|$    3 66.00|$    3 66.00|$    3 66.00|$    3 56.00|$    3 56.00|$        3 56.00|$        5 39.00|$       5 39.00|$       5 96.00|$         5 96.00|$        5 96.00|$   1 81.00||pase|||||
373|405|LIBRAMIENTO SUR DE GUADALAJARA|$   1 09.00|$        2 18.00|$   1 09.00|$    2 72.00|$    2 72.00|$    2 72.00|$    2 67.00|$    2 67.00|$        2 67.00|$        4 16.00|$       4 16.00|$       4 57.00|$         4 57.00|$        4 57.00|$   1 37.00||pase|||||
374|405|LIBRAMIENTO SUR DE GUADALAJARA|$        7 .00|$          1 3.00|$        6 .00|$       1 0.00|$       1 0.00|$       1 0.00|$       1 3.00|$       1 3.00|$          1 3.00|$          3 9.00|$         3 9.00|$         4 3.00|$           4 3.00|$          4 3.00|$       9 .00||pase|||||
375|57|Acatlan-atoyac|$      5 8.00|$        1 17.00|$      5 8.00|$    1 71.00|$    1 71.00|$    1 71.00|$    1 71.00|$    1 71.00|$        1 71.00|$        2 85.00|$       2 85.00|$       3 77.00|$         3 77.00|$        3 77.00|$     8 6.00|49.18|pase|27|Guadalajara-colima|||
376|58|Atoyac-cd. Guzman|$      4 4.00|$          8 8.00|$      4 4.00|$    1 32.00|$    1 32.00|$    1 32.00|$    1 32.00|$    1 32.00|$        1 32.00|$        2 13.00|$       2 13.00|$       2 86.00|$         2 86.00|$        2 86.00|$     6 6.00|37.12|pase|27|Guadalajara-colima|||
377|59|Sayula-cd. Guzman|$      2 1.00|$          4 2.00|$      2 1.00|$       5 4.00|$       5 4.00|$       5 4.00|$       5 4.00|$       5 4.00|$          5 4.00|$        1 10.00|$       1 10.00|$       1 39.00|$         1 39.00|$        1 39.00|$     2 9.00|21.1|pase|27|Guadalajara-colima|||
378|60|cd. guzman-el trapiche|$   1 02.00|$        2 04.00|$   1 04.00|$    3 02.00|$    3 02.00|$    3 02.00|$    3 02.00|$    3 02.00|$        3 02.00|$        4 99.00|$       4 99.00|$       6 62.00|$         6 62.00|$        6 62.00|$   1 54.00|61.7|pase|27|Guadalajara-colima|||
379|901|ARMERÍA-MANZANILLO|0|0|0|$    3 92.00|$    4 83.00|$    5 90.00|$    3 92.00|$    4 83.00|$        5 90.00|$        6 62.00|$       8 03.00|$       9 09.00|$      1 ,002.00|$    1 ,047.00|0|47|pase|1|Armería-manzanillo|||
380|155|ent. Ameca-magdalena|$   1 02.00|$        2 05.00|$   1 03.00|$    2 62.00|$    2 62.00|$    2 62.00|$    2 54.00|$    2 54.00|$        2 54.00|$        3 77.00|$       3 77.00|$       4 14.00|$         4 14.00|$        4 14.00|$   1 28.00|46|pase|28|Guadalajara-tepic|||
381|155|Tequila-magdalena|$      2 5.00|$          5 0.00|$      2 6.00|$       6 1.00|$       6 1.00|$       6 1.00|$       5 7.00|$       5 7.00|$          5 7.00|$          7 5.00|$         7 5.00|$         8 2.00|$           8 2.00|$          8 2.00|$     3 1.00|12.26|pase|28|Guadalajara-tepic|||
382|156|ixtlan del rio-santa maria del oro|$   1 53.00|$        3 06.00|$   1 51.00|$    3 34.00|$    3 34.00|$    3 34.00|$    3 37.00|$    3 37.00|$        3 37.00|$        5 44.00|$       5 44.00|$       6 13.00|$         6 13.00|$        6 13.00|$   1 69.00|47.692|pase|28|Guadalajara-tepic|||
383|157|Jala-tepic|$      8 9.00|$        1 79.00|$      9 4.00|$    2 50.00|$    2 50.00|$    2 50.00|$    2 44.00|$    2 44.00|$        2 44.00|$        3 73.00|$       3 73.00|$       4 10.00|$         4 10.00|$        4 10.00|$   1 19.00||pase|||||
384|157|ixtlan del rio-tepic|$      4 9.00|$          9 8.00|$      4 7.00|$    1 28.00|$    1 28.00|$    1 28.00|$    1 23.00|$    1 23.00|$        1 23.00|$        1 84.00|$       1 84.00|$       2 10.00|$         2 10.00|$        2 10.00|$     6 1.00|77.6|pase|28|Guadalajara-tepic|||
385|157|santa maria del oro-tepic|$      4 2.00|$          8 4.00|$      4 2.00|$    1 22.00|$    1 22.00|$    1 22.00|$    1 18.00|$    1 18.00|$        1 18.00|$        1 87.00|$       1 87.00|$       2 01.00|$         2 01.00|$        2 01.00|$     6 0.00|21.69|pase|28|Guadalajara-tepic|||
386|446|LIBRAMIENTO TEPIC|$      5 0.00|$        1 00.00|$      4 9.00|$    1 18.00|$    1 18.00|$    1 18.00|$    1 18.00|$    1 18.00|$        1 18.00|$        1 84.00|$       1 84.00|$       2 03.00|$         2 03.00|$        2 03.00|$     6 0.00|30|pase|250|libramiento de tepic|||
387|407|TEPIC-SAN BLAS|$      4 8.00|$          9 6.00|$      5 6.00|$    2 26.00|$    2 26.00|$    2 26.00|$    2 26.00|$    2 26.00|$        2 26.00|$        3 39.00|$       3 39.00|$       4 51.00|$         4 51.00|$        4 51.00|$   1 13.00|30.929|pase|253|Tapic-san blas|||
388|407|Tepic-mecatan|$      3 2.00|$          6 5.00|$      3 7.00|$    1 47.00|$    1 47.00|$    1 47.00|$    1 47.00|$    1 47.00|$        1 47.00|$        2 21.00|$       2 21.00|$       2 95.00|$         2 95.00|$        2 95.00|$     7 4.00|20.2|pase|253|Tapic-san blas|||
389|53|CHAPALILLA-COMPOSTELA|$      2 0.00|$          4 1.00|$      2 0.00|$       8 1.00|$       8 1.00|$       8 1.00|$       8 1.00|$       8 1.00|$        1 56.00|$        1 56.00|$       2 16.00|$       2 16.00|$         2 16.00|$        2 16.00|$     4 1.00|35.5|pase|14|Chapalilla-compostela|||
390|581|JALA-COMPOSTELA|$   1 02.00|$        2 05.00|$   1 03.00|$    2 48.00|$    2 48.00|$    2 48.00|$    2 48.00|$    2 48.00|$        4 65.00|$        4 65.00|$       6 43.00|$       6 43.00|$         6 43.00|$        6 43.00|$   1 24.00||pase|||||
391|581|JALA-COMPOSTELA|$      8 2.00|$        1 64.00|$      8 2.00|$    1 99.00|$    1 99.00|$    1 99.00|$    1 99.00|$    1 99.00|$        3 74.00|$        3 74.00|$       5 17.00|$       5 17.00|$         5 17.00|$        5 17.00|$   1 00.00||pase|||||
392|581|JALA-COMPOSTELA|$      3 0.00|$          6 0.00|$      3 0.00|$       7 5.00|$       7 5.00|$       7 5.00|$       7 5.00|$       7 5.00|$        1 39.00|$        1 39.00|$       1 90.00|$       1 90.00|$         1 90.00|$        1 90.00|$     3 8.00||pase|||||
393|582|JALA-COMPOSTELA|$      5 2.00|$        1 04.00|$      5 2.00|$    1 24.00|$    1 24.00|$    1 24.00|$    1 24.00|$    1 24.00|$        2 35.00|$        2 35.00|$       3 27.00|$       3 27.00|$         3 27.00|$        3 27.00|$     6 2.00||pase|||||
394|404|TEPIC-MAZATLÁN|$      2 0.00|$          4 0.00|$      2 0.00|$       5 5.00|$       5 5.00|$       5 5.00|$       5 5.00|$       5 5.00|$          5 5.00|$          9 0.00|$         9 0.00|$       1 25.00|$         1 25.00|$        1 25.00|$     2 6.00||pase|||||
395|403|Tepic-ent. San blas|$      7 2.00|$        1 45.00|$      7 2.00|$    2 30.00|$    2 30.00|$    2 30.00|$    2 30.00|$    2 30.00|$        2 30.00|$        4 00.00|$       4 00.00|$       5 70.00|$         5 70.00|$        5 70.00|$   1 14.00|25|pase|204|Tepic-villa unión|||
396|409|ent. San blas-estacion yago|$      3 7.00|$          7 5.00|$      3 7.00|$    1 10.00|$    1 10.00|$    1 10.00|$    1 10.00|$    1 10.00|$        1 10.00|$        1 95.00|$       1 95.00|$       2 50.00|$         2 50.00|$        2 50.00|$     5 6.00|13.48|pase|204|Tepic-villa unión|||
397|401|Ent. san blas-rosamorada|$   1 02.00|$        2 05.00|$   1 02.00|$    3 20.00|$    3 20.00|$    3 20.00|$    3 20.00|$    3 20.00|$        3 20.00|$        5 50.00|$       5 50.00|$       7 40.00|$         7 40.00|$        7 40.00|$   1 59.00|45.18|pase|204|Tepic-villa unión|||
398|401|estacion yago-ruiz|$      4 7.00|$          9 5.00|$      4 7.00|$    1 25.00|$    1 25.00|$    1 25.00|$    1 25.00|$    1 25.00|$        1 25.00|$        1 95.00|$       1 95.00|$       2 70.00|$         2 70.00|$        2 70.00|$     6 4.00|13.138|pase|204|Tepic-villa unión|||
399|402|Rosamorada-escuinapa|$   2 10.00|$        4 20.00|$   2 10.00|$    6 90.00|$    6 90.00|$    6 90.00|$    6 90.00|$    6 90.00|$        6 90.00|$     1 ,160.00|$   1 ,160.00|$    1 ,590.00|$      1 ,590.00|$    1 ,590.00|$   3 46.00|100.56|pase|204|Tepic-villa unión|||
